left,right
"tensor([717.7728, 679.0779])","tensor([750.9281, 679.0779])"
"tensor([710.9582, 685.4563])","tensor([748.3267, 676.1143])"
"tensor([711.0753, 685.7823])","tensor([748.3398, 676.4662])"
"tensor([710.0856, 685.8160])","tensor([747.3394, 676.5025])"
"tensor([710.2051, 685.8753])","tensor([747.4400, 676.5666])"
"tensor([710.5053, 685.8198])","tensor([747.7579, 676.5067])"
"tensor([722.5566, 651.9252])","tensor([757.6205, 656.9343])"
"tensor([722.5131, 651.9008])","tensor([757.5826, 656.9108])"
"tensor([726.6360, 646.6169])","tensor([756.7485, 656.6544])"
"tensor([728.6957, 651.6356])","tensor([753.7895, 656.6544])"
"tensor([728.7646, 651.6356])","tensor([753.8584, 656.6544])"
"tensor([728.7490, 651.6356])","tensor([753.8427, 656.6544])"
"tensor([721.0257, 663.5409])","tensor([749.7183, 668.3230])"
"tensor([710.5771, 675.8718])","tensor([748.0172, 666.5118])"
"tensor([715.6265, 680.9744])","tensor([748.2731, 662.3192])"
"tensor([713.1229, 671.1884])","tensor([745.8839, 666.5082])"
"tensor([712.9102, 671.1420])","tensor([745.6827, 666.4601])"
"tensor([712.6366, 671.1043])","tensor([745.4184, 666.4212])"
"tensor([723.6624, 654.0974])","tensor([753.2841, 659.0344])"
"tensor([722.9655, 646.6169])","tensor([758.0967, 651.6356])"
"tensor([723.9075, 647.9170])","tensor([753.7691, 647.9170])"
"tensor([726.7513, 646.6169])","tensor([756.8638, 646.6169])"
"tensor([726.7242, 646.6169])","tensor([756.8366, 651.6356])"
"tensor([726.7514, 646.6169])","tensor([756.8639, 651.6356])"
"tensor([723.1997, 667.8808])","tensor([751.9867, 667.8808])"
"tensor([716.4710, 675.2826])","tensor([749.3832, 670.5808])"
"tensor([716.8830, 677.3444])","tensor([749.2626, 672.7188])"
"tensor([716.8701, 677.2869])","tensor([749.2646, 672.6591])"
"tensor([715.4217, 671.7672])","tensor([748.0384, 667.1077])"
"tensor([714.9059, 671.6593])","tensor([747.5494, 666.9959])"
"tensor([722.9855, 655.1910])","tensor([757.2900, 664.9923])"
"tensor([722.8955, 655.1476])","tensor([757.2100, 664.9518])"
"tensor([726.6913, 646.6169])","tensor([756.8038, 651.6356])"
"tensor([721.8932, 646.6169])","tensor([757.0245, 646.6169])"
"tensor([721.8524, 646.7927])","tensor([751.9310, 651.8057])"
"tensor([718.1595, 651.3024])","tensor([752.2361, 651.3024])"
"tensor([710.2565, 678.4221])","tensor([743.5878, 673.6605])"
"tensor([710.6036, 673.7076])","tensor([743.9227, 673.7076])"
"tensor([704.1120, 684.9977])","tensor([741.6266, 670.9297])"
"tensor([704.4225, 685.0621])","tensor([741.9166, 675.6886])"
"tensor([709.7952, 675.4573])","tensor([742.6624, 675.4573])"
"tensor([709.7632, 675.4105])","tensor([742.6425, 675.4105])"
"tensor([716.2274, 651.6356])","tensor([751.3586, 651.6356])"
"tensor([716.3546, 651.6356])","tensor([751.4858, 651.6356])"
"tensor([716.2757, 651.6356])","tensor([751.4070, 651.6356])"
"tensor([722.4763, 651.6356])","tensor([752.5887, 651.6356])"
"tensor([722.6502, 651.6356])","tensor([752.7628, 651.6356])"
"tensor([722.6620, 651.6356])","tensor([752.7746, 651.6356])"
"tensor([715.0818, 679.7449])","tensor([749.3720, 674.8463])"
"tensor([711.7590, 681.8362])","tensor([745.4661, 681.8362])"
"tensor([710.9968, 684.5874])","tensor([748.6423, 675.1760])"
"tensor([709.7651, 684.4514])","tensor([747.4539, 675.0291])"
"tensor([709.6849, 684.5173])","tensor([747.3527, 675.1003])"
"tensor([709.5302, 684.4993])","tensor([747.2037, 675.0809])"
"tensor([717.7006, 662.0106])","tensor([752.7477, 662.0106])"
"tensor([717.7448, 652.6826])","tensor([747.6486, 652.6826])"
"tensor([711.1870, 646.6169])","tensor([746.3182, 651.6356])"
"tensor([712.7483, 651.6356])","tensor([742.8608, 656.6544])"
"tensor([712.7699, 651.6356])","tensor([742.8824, 656.6544])"
"tensor([712.8340, 651.6356])","tensor([742.9466, 656.6544])"
"tensor([704.3745, 670.9045])","tensor([738.4175, 670.9045])"
"tensor([698.1391, 683.6214])","tensor([731.3483, 674.1331])"
"tensor([697.8640, 685.4084])","tensor([730.5748, 671.3895])"
"tensor([695.3933, 680.7144])","tensor([732.7835, 671.3669])"
"tensor([695.6466, 680.7610])","tensor([733.0225, 676.0891])"
"tensor([695.6231, 680.7463])","tensor([733.0035, 676.0737])"
"tensor([707.3960, 651.6356])","tensor([742.5273, 656.6544])"
"tensor([707.3388, 651.6356])","tensor([742.4701, 656.6544])"
"tensor([707.3138, 651.6356])","tensor([742.4451, 656.6544])"
"tensor([712.9142, 651.6356])","tensor([748.0454, 651.6356])"
"tensor([721.6639, 651.6356])","tensor([751.7763, 656.6544])"
"tensor([721.6418, 651.6356])","tensor([751.7543, 651.6356])"
"tensor([724.5295, 668.2720])","tensor([759.2526, 673.2325])"
"tensor([724.5935, 668.3410])","tensor([759.2988, 673.2990])"
"tensor([722.0639, 687.1281])","tensor([755.6325, 682.3326])"
"tensor([718.3245, 689.4282])","tensor([755.9251, 680.0280])"
"tensor([718.4672, 689.3825])","tensor([756.0829, 679.9786])"
"tensor([722.1021, 671.2085])","tensor([756.0667, 676.0605])"
"tensor([724.1752, 656.6544])","tensor([759.3065, 661.6731])"
"tensor([724.4023, 656.6544])","tensor([759.5335, 661.6731])"
"tensor([724.4239, 656.6544])","tensor([759.5551, 661.6731])"
"tensor([722.2903, 646.6169])","tensor([762.4404, 651.6356])"
"tensor([722.0969, 646.6169])","tensor([762.2469, 651.6356])"
"tensor([726.5707, 666.6918])","tensor([761.7020, 671.7106])"
"tensor([726.5435, 666.6918])","tensor([761.6747, 666.6918])"
"tensor([723.2686, 670.3674])","tensor([757.4504, 675.2505])"
"tensor([716.0550, 687.9396])","tensor([749.3879, 683.1778])"
"tensor([716.1104, 689.9208])","tensor([753.5474, 675.8819])"
"tensor([716.0820, 689.8285])","tensor([753.5496, 675.7781])"
"tensor([716.0966, 689.8258])","tensor([753.5652, 675.7751])"
